,Parada,Lat,Lon
0,Capitán Moreno,37.183413014827934,-3.60058075190409
0,Avda. de Madrid 1,37.188842542804736,-3.6050069332122803
0,Avda. de Juan Pablo II 1,37.19388943782329,-3.608314096927643
0,Estación de Autobuses 1,37.200129215648786,-3.613198399543762
0,Residencia,37.22995091917644,-3.636014610528946
0,Avda. de Reina Sofía 1,37.231328910049726,-3.634420707821846
0,Avda. de Reina Sofía 2,37.23427914600601,-3.6312228441238403
0,Caserío de Fonseca,37.23463790732634,-3.639999032020569
0,Monteluz 1,37.239646506856985,-3.640102967619896
0,Monteluz 2,37.23972818345632,-3.6429984122514725
0,Monteluz 3,37.24100136606204,-3.642246723175049
0,Urb. Loma Verde 2,37.24546,-3.6526
0,Urb. Loma Verde 3,37.247,-3.64979
0,Urb. Cortijo del Aire 1,37.24943,-3.65139
0,Urb. Cortijo del Aire 2,37.25006,-3.6531
0,Urb. Villas Blancas 1,37.25143,-3.65655
0,Urb. Villas Blancas 2,37.25389,-3.65613
0,Avda. de Andalucía,37.272696944307675,-3.623506799340248
0,Granada,37.27356,-3.6202
0,Capitán Moreno,37.183413014827934,-3.60058075190409
