,Parada,Lat,Lon
0,Tierno Galván,37.16562119881061,-3.5977123975999347
0,Avda. de Dílar 1,37.16180065562626,-3.5992667376831377
0,Avda. de Dílar 2,37.15843,-3.59995
0,Avda. de Dílar 3,37.15602095288766,-3.6004994809627533
0,Avda. de Dílar 4,37.15221146865809,-3.6010318994522095
0,Avda. de Dílar 5,37.14948774079919,-3.6018680781126022
0,Avda. de la Ilustración 1,37.14951125756972,-3.6056525409139794
0,Avda. de la Innovación,37.148017179849475,-3.6073298603378134
0,Avda. del Conocimiento 3,37.14467210038218,-3.6057965756117482
0,Fund. Iavante,37.14594784895952,-3.602886781104644
0,Ctra. de Ogíjares 1,37.14437619718244,-3.602111756817976
0,Ctra. de Ogíjares 2,37.14231916760949,-3.602357178942839
0,Ctra. de Ogíjares 3,37.13914146972645,-3.6023856103338403
0,Ctra. de Ogíjares 4,37.1339778001824,-3.603147357734997
0,Granada 1,37.129608216701094,-3.60339492559433
0,Granada 2,37.126279217698254,-3.60407298804148
0,Plaza Baja,37.12336689176131,-3.6048822104930878
0,Granada 3,37.121561655384,-3.605196297266957
0,I.e.s. Blas Infante,37.11841,-3.60417
0,Ctra. de Gójar,37.116234770119206,-3.6032617539331113
0,Urb. los Cerezos 3,37.113640861694954,-3.6027296036400002
0,Urb. los Cerezos 2,37.10891,-3.603
0,Avda. de Carmen Morcillo 1,37.10637680364617,-3.6039387434720993
0,Avda .de Carmen Morcillo 2,37.103169679997826,-3.6037255078554153
0,Avda. de Carmen Morcillo 3,37.09963296951192,-3.603653758764267
0,Urb. Santa Marta,37.09481,-3.60537
0,Ctra. de Dílar 1,37.09315,-3.60561
0,Ctra. de Dílar 2,37.09094,-3.60723
0,Ctra. de Dílar 3,37.08238,-3.60409
0,Ctra. de Dílar 4,37.0761,-3.60501
0,El Pilar,37.07725,-3.60354
0,Ayuntamiento,37.07497,-3.6016
