,0,1,2,3,4
0,Granada,Armilla,Churriana De La Vega,Las Gabias,Real de Málaga 4
0,06:55,07:05,07:15,07:25,07:30
0,07:00,07:10,07:20,07:40,07:45
0,07:10,07:20,07:30,07:40,07:45
0,07:30,07:40,07:50,08:00,08:05
0,07:45,07:55,08:05,08:25,08:30
0,07:45,07:55,08:05,08:25,08:30
0,07:50,08:00,08:10,08:20,08:25
0,08:10,08:20,08:30,08:40,08:45
0,08:30,08:40,08:50,09:10,09:15
0,08:30,08:40,08:50,09:00,09:05
0,08:50,09:00,09:10,09:20,09:25
0,09:10,09:20,09:30,09:40,09:45
0,09:15,09:25,09:35,09:55,10:00
0,09:15,09:25,09:35,09:55,10:00
0,09:30,09:40,09:50,10:00,10:05
0,09:50,10:00,10:10,10:20,10:25
0,10:00,10:10,10:20,10:40,10:45
0,10:10,10:20,10:30,10:40,10:45
0,10:30,10:40,10:50,11:00,11:05
0,10:45,10:55,11:05,11:25,11:30
0,10:45,10:55,11:05,11:25,11:30
0,10:50,11:00,11:10,11:20,11:25
0,11:10,11:20,11:30,11:40,11:45
0,11:30,11:40,11:50,12:10,12:15
0,11:30,11:40,11:50,12:00,12:05
0,11:50,12:00,12:10,12:20,12:25
0,12:10,12:20,12:30,12:40,12:45
0,12:15,12:25,12:35,12:55,13:00
0,12:15,12:25,12:35,12:55,13:00
0,12:30,12:40,12:50,13:00,13:05
0,12:50,13:00,13:10,13:20,13:25
0,13:00,13:10,13:20,13:40,13:45
0,13:10,13:20,13:30,13:40,13:45
0,13:30,13:40,13:50,14:00,14:05
0,13:45,13:55,14:05,14:25,14:30
0,13:45,13:55,14:05,14:25,14:30
0,13:50,14:00,14:10,14:20,14:25
0,14:10,14:20,14:30,14:40,14:45
0,14:30,14:40,14:50,15:10,15:15
0,14:30,14:40,14:50,15:00,15:05
0,14:50,15:00,15:10,15:20,15:25
0,15:10,15:20,15:30,15:40,15:45
0,15:15,15:25,15:35,15:55,16:00
0,15:15,15:25,15:35,15:55,16:00
0,15:30,15:40,15:50,16:00,16:05
0,15:50,16:00,16:10,16:20,16:25
0,16:00,16:10,16:20,16:40,16:45
0,16:00,16:10,16:20,16:40,16:45
0,16:10,16:20,16:30,16:40,16:45
0,16:30,16:40,16:50,17:00,17:05
0,16:45,16:55,17:05,17:25,17:30
0,16:45,16:55,17:05,17:25,17:30
0,16:50,17:00,17:10,17:20,17:25
0,17:10,17:20,17:30,17:40,17:45
0,17:30,17:40,17:50,18:10,18:15
0,17:30,17:40,17:50,18:10,18:15
0,17:30,17:40,17:50,18:00,18:05
0,17:50,18:00,18:10,18:20,18:25
0,18:10,18:20,18:30,18:40,18:45
0,18:15,18:25,18:35,18:55,19:00
0,18:15,18:25,18:35,18:55,19:00
0,18:30,18:40,18:50,19:00,19:05
0,18:50,19:00,19:10,19:20,19:25
0,19:00,19:10,19:20,19:40,19:45
0,19:00,19:10,19:20,19:40,19:45
0,19:10,19:20,19:30,19:40,19:45
0,19:30,19:40,19:50,20:00,20:05
0,19:45,19:55,20:05,20:25,20:30
0,19:45,19:55,20:05,20:25,20:30
0,19:50,20:00,20:10,20:20,20:25
0,20:10,20:20,20:30,20:40,20:45
0,20:30,20:40,20:50,21:00,21:05
0,20:30,20:40,20:50,21:10,21:15
0,20:30,20:40,20:50,21:10,21:15
0,20:50,21:00,21:10,21:20,21:25
0,21:10,21:20,21:30,21:40,21:45
0,21:15,21:25,21:35,21:55,22:00
0,21:15,21:25,21:35,21:55,22:00
0,21:30,21:40,21:50,22:00,22:10
0,21:45,21:55,22:05,22:15,22:25
0,22:00,22:10,22:20,22:40,22:45
0,22:00,22:10,22:20,22:40,22:45
0,22:10,22:20,22:30,22:40,22:45
0,23:00,23:10,23:20,23:40,23:45
0,23:00,23:10,23:20,23:30,23:40
